65,66,67,68,69,70,71,72,73;63,64,65,66,67,68,69,70,71,72,73,74,75
67,68,69,70,71,72,73,74,75,76,77,78,79,80;85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
9,10,11;11,12,13
55,56,57,58,59,60,61,62,63;66,67,68,69,70,71,72,73,74
72,73,74,75,76,77,78,79,80;97,98,99,100,101,102,103,104,105
68,69,70,71,72;81,82,83,84,85,86,87,88,89,90,91,92,93,94
59,60,61,62,63;68,69,70,71,72
9,10,11;33,34,35
1,2,3,4;3,4,5,6
58,59,60,61,62,63,64,65,66,67,68,69,70,71,72;94,95,96,97,98,99,100,101,102
54,55,56,57,58;74,75,76,77,78,79,80,81
76,77,78,79,80,81,82,83,84,85;97,98,99,100,101,102,103,104,105
81,82,83,84,85,86,87,88,89,90,91,92,93;77,78,79,80,81,82
66,67,68,69,70,71,72,73,74;68,69,70,71,72,73
52,53,54,55,56,57,58,59,60,61,62;64,65,66,67,68,69,70,71,72,73,74,75
51,52,53,54,55,56,57,58,59;92,93,94,95,96,97,98,99,100,101,102
85,86,87,88,89,90,91,92,93,94,95;97,98,99,100,101,102,103,104,105,106,107,108,109
20,25,36,45,89;25,36,77,88,98
89,90,91,92,93,94,95,96,97,98,99;89,90,91,92,93
97,98,99,100,101,102,103,104,105,106,107,108,109;56,57,58,59,60,61,62,63
